"ITTER107","Territorio","TIPO_DATO2","Tipo indice","MISURA1","Misura","TYPPURCH","Abitazioni compravendute","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2017-Q3","T3-2017",99.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2018-Q2","T2-2018",101.2,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2018-Q1","T1-2018",99.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2018-Q4","T4-2018",102.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2018-Q3","T3-2018",101.2,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2019-Q1","T1-2019",101.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2019-Q2","T2-2019",101.7,"r","dato aggiornato"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2019-Q4","T4-2019",103.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2019-Q3","T3-2019",102.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2020-Q2","T2-2020",104.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2020-Q1","T1-2020",102.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2020-Q3","T3-2020",105.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2020-Q4","T4-2020",105.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2021-Q1","T1-2021",106.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2021-Q2","T2-2021",106.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2021-Q3","T3-2021",109.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2021-Q4","T4-2021",111,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2022-Q1","T1-2022",111.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2022-Q2","T2-2022",119.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2022-Q3","T3-2022",113,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","NEW_DW","H11 - abitazioni nuove","2022-Q4","T4-2022",116.1,"p","dato provvisorio"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2010-Q2","T2-2010",127,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2010-Q1","T1-2010",125.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2010-Q4","T4-2010",126.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2010-Q3","T3-2010",127.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2011-Q1","T1-2011",126,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2011-Q2","T2-2011",128.9,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2011-Q4","T4-2011",126.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2011-Q3","T3-2011",128,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2012-Q2","T2-2012",123.3,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2012-Q1","T1-2012",125.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2012-Q4","T4-2012",116.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2012-Q3","T3-2012",120.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2013-Q1","T1-2013",112.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2013-Q2","T2-2013",112.2,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2013-Q4","T4-2013",108.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2013-Q3","T3-2013",110.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2014-Q2","T2-2014",105.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2014-Q1","T1-2014",107,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2014-Q4","T4-2014",102.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2014-Q3","T3-2014",104.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2015-Q1","T1-2015",99.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2015-Q2","T2-2015",100.2,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2015-Q4","T4-2015",99.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2015-Q3","T3-2015",100.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2016-Q2","T2-2016",100.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2016-Q1","T1-2016",99.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2016-Q4","T4-2016",99.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2016-Q3","T3-2016",100.6,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2017-Q1","T1-2017",99.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2017-Q2","T2-2017",99.5,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2017-Q4","T4-2017",98.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2017-Q3","T3-2017",99,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2018-Q2","T2-2018",98.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2018-Q1","T1-2018",98.1,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2018-Q4","T4-2018",97.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2018-Q3","T3-2018",97.7,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2019-Q1","T1-2019",96.8,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2019-Q2","T2-2019",98.3,"r","dato aggiornato"
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2019-Q4","T4-2019",97.4,,
"IT","Italia","59","indice dei prezzi delle abitazioni (base 2015=100) - dati trimestrali ","4","numeri indici","EXST_DW","H12 - abitazioni esistenti","2019-Q3","T3-2019",97.8,,
